document,label_sentiment,label_category
forc close onc updat header automat close cant even look wall caus twitter isnt respond tweet anyway pleas thank ,neg,bug
less star becaus mute user still appear list retweet fact cant seem abl mute hashtag anoth star remov becaus either dont care user lazi updat section ,neg,bug
prioriti follow page friend veri hard notic friend tweet think twitter priorit tweet friend onli page onli thi catch miss prioriti set notif tweet star account sometim dont even pleas thi issu soon possibl ,neg,bug
heart realli heart button crash immedi like ever sinc introduct mayb time final someth month ,neg,ui
video close bring back view someon profil ,neg,bug
guy suck much useless frequent updat pleas keep stabl first befor releas public plu pleas updat version note section hate weve comment pleas seriou thi guy ,neg,bug
chang mani updat follow still kind order month follow middl follow anyon follow also video play veri sluggish ,neg,bug
tweet take forev send surpris amount updat seem nothingon twitter updateand actual make bettersadli probabl wont lifetim jump scroll find tweet long peopl complaind thi still doe ,neg,feature
stop updat twitter becom like facebook everyday alreadi facebook even right facebook uninstal twitter mess ,neg,feature
love twitter hate like like post wasnt plan like becaus use like button post ,neg,ui
still twitter keep crash profil pictur help like peopl account everi minut ,neg,bug
twitter descent thing need chat live peopl think would cool enhanc bubbl tweet peopl live chat twitter follow ,pos,ui
updat header twitter kept crash mobil start work uninstal reinstal anyon issu ,neg,bug
glitch whenev updat banner forceclos wont back onto profil ,neg,bug
uiux suck thing hell uiux design thought put likertrepli button right side suck time plu space uneven realli annoy eye use love brows twitter kill honestli thing appear much fetch tweet seem slower sinc updat ,neg,ui
click copi doesnt acknowledg type text long press select copi befor post copi ribbon doesnt acknowledg copi copi text ,neg,bug
need improv first charact veri less option edit tweet freez seconds option directli tweet option appear second take time send video take approxim minut send file ,neg,bug
love great keep date peopl thing sometim scroll randomli refresh back news feed dont know apart realli wish could someon els type within direct messsag ,neg,feature
love twitter onli thing miss would cool could share locat like disney land could share disney land love app ,neg,feature
fuk crash still stop like tweet updat hasnt done good thi fckin nut suck alreadi ,neg,bug
